room_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,host_days,host_identity_verified,host_is_superhost
73802.0,-33.91481638,151.2601163,12.0,5.0,6.0,6.0,3000.0,60.0,7.0,33.0,13.0,98.0,990.0,2464.0,1.0,0.0
79024.0,-33.87380325,151.2236207,6.0,2.5,3.0,3.0,0.0,70.0,2.0,205.0,244.0,89.0,330.0,2585.0,1.0,1.0
79624.0,-33.83096185,151.2153213,1.0,1.0,1.0,1.0,300.0,60.0,2.0,319.0,73.0,99.0,85.0,2555.0,0.0,1.0
79912.0,-33.90641714,151.2669859,4.0,1.0,2.0,4.0,1000.0,250.0,14.0,154.0,16.0,96.0,295.0,2524.0,1.0,0.0
80470.0,-33.82999214,151.2183109,5.0,2.0,2.0,2.0,500.0,100.0,6.0,365.0,6.0,100.0,401.0,2463.0,0.0,0.0
87634.0,-33.91166408,151.2059607,2.0,2.5,2.0,2.0,0.0,30.0,2.0,178.0,50.0,95.0,89.0,2660.0,1.0,0.0
88089.0,-33.87168786,151.2236799,2.0,1.0,1.0,1.0,0.0,0.0,3.0,173.0,0.0,96.0,175.0,2676.0,0.0,0.0
103273.0,-33.88922811,151.2839992,4.0,1.0,2.0,3.0,500.0,130.0,2.0,157.0,52.0,91.0,161.0,2904.0,1.0,1.0
104380.0,-33.88884607,151.2782736,4.0,1.0,2.0,2.0,300.0,175.0,3.0,90.0,15.0,92.0,170.0,2621.0,1.0,0.0
104393.0,-33.88868898,151.2789078,5.0,1.0,2.0,3.0,500.0,175.0,6.0,354.0,67.0,96.0,200.0,2621.0,1.0,0.0
105938.0,-33.64963549,151.3169248,4.0,2.5,2.0,3.0,300.0,120.0,14.0,316.0,6.0,100.0,190.0,2734.0,1.0,0.0
118658.0,-33.89123548,151.2854706,4.0,1.0,2.0,2.0,800.0,75.0,5.0,84.0,5.0,87.0,214.0,2601.0,0.0,0.0
143280.0,-33.69399909,151.29036,6.0,1.0,3.0,4.0,300.0,150.0,3.0,328.0,24.0,94.0,170.0,2575.0,0.0,0.0
176239.0,-33.85926726,151.0657601,1.0,1.0,1.0,1.0,115.0,60.0,4.0,73.0,88.0,98.0,65.0,2540.0,1.0,0.0
196170.0,-33.89370048,151.2673806,2.0,1.5,1.0,1.0,250.0,60.0,5.0,0.0,3.0,93.0,200.0,2427.0,1.0,0.0
198170.0,-33.90270035,151.1647223,2.0,1.0,1.0,1.0,300.0,15.0,3.0,365.0,31.0,82.0,49.0,2513.0,0.0,0.0
199669.0,-33.88904142,151.2722535,5.0,1.0,2.0,2.0,500.0,200.0,7.0,199.0,3.0,90.0,401.0,2512.0,1.0,1.0
203165.0,-33.88699977,151.23717,8.0,2.0,4.0,6.0,1000.0,450.0,3.0,33.0,43.0,95.0,500.0,2539.0,1.0,1.0
225478.0,-34.08272853,151.155977,6.0,2.5,3.0,3.0,700.0,0.0,2.0,332.0,12.0,95.0,580.0,2478.0,0.0,0.0
226202.0,-33.92559624,151.2557943,4.0,1.0,2.0,3.0,750.0,50.0,6.0,0.0,2.0,90.0,129.0,2749.0,1.0,0.0
232188.0,-33.70016886,151.2935482,8.0,1.5,4.0,5.0,400.0,150.0,2.0,275.0,86.0,98.0,220.0,2575.0,0.0,0.0
232782.0,-33.8928914,151.2095628,4.0,1.0,2.0,3.0,600.0,100.0,2.0,24.0,16.0,94.0,250.0,2504.0,1.0,0.0
245955.0,-34.05466307,151.0146091,2.0,1.0,1.0,1.0,300.0,60.0,2.0,0.0,4.0,85.0,160.0,2452.0,0.0,0.0
246383.0,-33.89851755,151.2710995,4.0,2.0,2.0,2.0,1000.0,120.0,10.0,187.0,1.0,80.0,500.0,2673.0,1.0,0.0
249100.0,-33.84373447,151.2147891,1.0,1.0,1.0,1.0,150.0,50.0,1.0,201.0,71.0,97.0,90.0,2448.0,1.0,1.0
249158.0,-33.87604631,151.197085,2.0,1.0,1.0,1.0,500.0,165.0,3.0,39.0,75.0,90.0,150.0,2448.0,0.0,0.0
249998.0,-33.89414161,151.251376,4.0,1.0,2.0,2.0,500.0,95.0,2.0,0.0,14.0,100.0,250.0,2447.0,1.0,0.0
252427.0,-33.92630065,151.2591159,2.0,1.0,1.0,1.0,350.0,60.0,4.0,0.0,12.0,98.0,130.0,2469.0,1.0,0.0
254109.0,-33.72058968,151.0674929,2.0,1.0,1.0,1.0,300.0,60.0,3.0,0.0,12.0,93.0,74.0,2441.0,1.0,0.0
255090.0,-33.87603301,151.2341296,3.0,1.0,1.0,2.0,100.0,20.0,7.0,212.0,16.0,82.0,105.0,2439.0,0.0,0.0
256516.0,-33.88237638,151.2834809,4.0,1.0,2.0,2.0,500.0,150.0,7.0,180.0,0.0,96.0,299.0,2437.0,1.0,0.0
256569.0,-33.89586077,151.2716843,5.0,1.0,1.0,4.0,150.0,40.0,2.0,134.0,368.0,94.0,135.0,2437.0,1.0,1.0
